GUID,NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
017c6vQhr6UQb78wsR8Pgi,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,432.7345847862483,4495.007774711151,4034.265414980391,100.0,3020.2,100,-1,-0.0766487834762263
2O9p6sEF17pA1o$lCuV$PI,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,162.73458478213328,1495.0077747111504,4304.265414976269,100.0,3020.2,100,-1,-0.0714894241140146
1tUOgnogXEXgUVs3Y8N4gb,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4304.265414976269,1495.0077747111504,4304.265414976269,100.0,3020.2,100,-1,-0.0773684398751526
1fmDRoM291ZQFj4fbvIoMf,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4034.265414980391,4495.007774711151,4034.265414980391,100.0,3020.2,100,-1,-0.0775568713740199
2VJd526L936QcnKeVviDeT,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4304.265414976269,1495.0077747111504,162.73458478213328,100.0,3020.2,100,-1,-0.0766219916396518
2T8R7R4492FO3Wurq3q5uC,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4034.265414980391,4495.007774711151,432.7345847862483,100.0,3020.2,100,-1,-0.070036951392296
1ruD6dxi589wWmyilCn3FQ,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,432.7345847862483,4495.007774711151,432.7345847862483,100.0,3020.2,100,-1,-0.0664489070980455
3k15iv9fH1px2DHAOXUZVJ,0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,162.73458478213328,1495.0077747111504,162.73458478213328,100.0,3020.2,100,-1,-0.0644791668394114
3m0DTq_hTDQOmvMjwMUxVb,0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,2680.00187039576,25905.578466062307,2292.9040507279465,35.0,1326.8,35,1,0.1834999888665274
1k959lhVDDDeA4whMLTj6D,0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,2292.9040507279465,25905.578466062307,1787.0000209379514,35.0,1326.8,35,1,0.1817322764613372
2lpCpgxfL7HuixIeAjnsVh,0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,1787.0000209379514,25905.578466062307,2174.095950076283,35.0,1326.8,35,1,0.1828518517927626
2N9Tyiyb90whI$LxZ_Q9Gp,0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,2174.095950076283,25905.578466062307,2679.9670117005576,35.0,1326.8,35,1,0.1799772833258508
2KrK1h3i96OB6d2QfL7Yl9,0.0004651669964839,3.65156092239896,242321.04530327205,245976.185758373,0.000464376694675,64107999.99999999,246000.00000000003,0.0,3.78,2237.019025798602,24411.23557995681,2239.070173104404,40.0,1563.4,40,1,0.1978914435532304
3FegZFNhH3Jwv$sKtopjLC,0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,2292.4838712155683,17467.81581930099,2874.914405005936,40.0,1764.4,40,1,0.1766935739993139
2f9cPBXsbD6ueYJFGWuBfw,0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,2174.516128784431,17467.81581930099,1592.085594994065,40.0,1764.4,40,1,0.1744093025810291
2H40rn9QjClxPeTDq6HCP7,0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,2874.914405005936,17467.81581930099,2174.516128784431,40.0,1764.4,40,1,0.1795814402323908
2OlRqt7enA7wgH5iRb077m,0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,1592.085594994065,17467.81581930099,2292.4838712155683,40.0,1764.4,40,1,0.1738108475101773
