GUID,Feature,AnomalyFlag,Scores
23wBWonR90fQwjKpp$Zn6l,1,1,0.0
0xNZP7dUDCXuvN5_O6SCmp,1,1,0.0
1P6PvCmIHDqBB8jFa6MPhk,1,1,0.0
32W__rHYf14heD7Kt6giP0,1,1,0.0
2DFlXQafj2uhAM6uzIaXj7,1,1,0.0
2qb$OjD852IRxyCjdl7nOP,1,1,0.0
292gQfn3TAlwuXIfgKq4r$,1,1,0.0
2TA2fpc8DA9PsAV7OB2_qt,1,1,0.0
3u5pwJyvr4Ah94j0HxVgGK,1,1,0.0
3KUcrRaYPFLuYMdlK77A3$,1,1,0.0
1a87x$GFP7nwd7vxnvkIZ8,1,1,0.0
3PvK2WIWjA4A9KuOJtUY$W,1,1,0.0
00Ol2ZGKT0Vh_1NmitIgOu,1,1,0.0
3CoA7LlQ5BGfGMmiKwMYva,1,1,0.0
0b2FyMozHBx93_LW1MCH_N,1,1,0.0
3cFvXIvLT8ZebLKwKc5giW,1,1,0.0
3JBPBmt2TBc8hmXw02u7Sd,1,1,0.0
0nOCsXz4z2_efzbBRBCWUa,1,1,0.0
26idgDyJf5HhOQy6IvoM2w,1,1,0.0
1DH7BDmG903eGes$bvNf_I,1,1,0.0
00EyBzWzLC58VminHjP04j,1,1,0.0
2MtuhlTrXEYBXk1gdeoQDV,1,1,0.0
3g9jjUjVfBcQlpAVCfm7l0,1,1,0.0
0iZ6oRAiv7muYsHeEi12Ln,1,1,0.0
1do3j5ynv3kQaR1GdQ9QxX,1,1,0.0
2ktRfWBy953AfoD$vq_O3N,1,1,0.0
3J$eB_hpj1Gx7dTmRnTWC8,1,1,0.0
2kI30RRJTDVBJX218gCoCs,1,1,0.0
2BYwo0F259phEZVjD2lyog,1,1,0.0
1WvmaHxhDDG96l31_uQSAe,1,1,0.0
3UJN$Fs_P59RtdAlq29iZn,1,1,0.0
2qG44H4Sj4u8$naK59lY0C,1,1,0.0
2SddV8M7P8Gg1woQrU1jfy,1,1,0.0
2pUscDAnz5VA6eIng2zTzy,1,1,0.0
3xNJ2plw19Zgg9CDBbbEmj,1,1,0.0
0Z5bgRaK15E9rbMBLZcMZX,1,1,0.0
2mR7Tcuz1AMhHGZiFkp$G1,1,1,0.0
1WenC7pbH8_uep4N1WoqIl,1,1,0.0
0$WODbDlzAFghqVrif$rfD,1,1,0.0
0A17kPXlP9NfibzhFXrZok,1,1,0.0
21rLQ6KbXEMv3$Fuvw87g$,1,1,0.0
1UqMDZ7cbFAez$dJI3ZHA7,1,1,0.0
2riB$S9qn4TQ8wVQVAZi7M,1,1,0.0
3VV_v3xsX5fh_argtrpSVt,1,1,0.0
3FqdU9FGz3lv$CfVHEesxS,1,1,0.0
3dYiLKzQnEdf1cEDov_HZz,1,1,0.0
1cKED5Gm5F_Oi3ghDVc$YS,1,1,0.0
3_2Rd2wtH3_BK5AcLEE3lY,1,1,0.0
2jraFe3Un198jvXw5pwt4R,1,1,0.0
3DW29gCbH5YvoCXxBqAaa6,1,1,0.0
2pSns3bJnD_h0npEviSBdf,1,1,0.0
0Va6q1N3LFmvbZO$jWCOIN,1,1,0.0
1yv7jRJvb6ZfQ0ydsNdCMJ,1,1,0.0
1wXwBXjY920fFUORFvaPwi,1,1,0.0
06W40clbDFfhm0sHfVO$tu,1,1,0.0
0o2r5$Mkv1P9jL0E81c02_,1,1,0.0
33YTeE4wP04BARxvho3taL,1,1,0.0
1yB0H_ZBb1dvK01QHb7Ope,1,1,0.0
1$kWxJ$Jr4OQB20CabEa31,1,1,0.0
0TeBE4ZMjF7PyBYJOvPxTx,1,1,0.0
0AXkmepJ9FivMCxRkU6hwd,1,1,0.0
