NetVolume (m³),NetWeight (kg),OuterSurfaceArea (mm²),Area (mm²),Volume (m³),Area per tons (mm²),Net surface area (mm²),Volume (m³).1,Weight (kg),CenterOfGravityX (mm),CenterOfGravityZ (mm),CenterOfGravityY (mm),Height (mm),Length (mm),Width (mm),AnomalyFlag,Scores
0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,2951.810989117585,7998.564678607193,744.0131299285281,55.0,1965.0,55,1,0.12425366617932315
0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,744.0131299285281,7998.564678607193,1515.189009502,55.0,1965.0,55,1,0.1248387841526018
0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,1515.189009502,7998.564678607193,3722.986870048466,55.0,1965.0,55,1,0.11294558880196409
0.0010315988328922,8.1,433339.034735913,433339.034735913,0.0010315988328922,53512000.0,433000.00000000006,0.001,8.1,3722.986870048466,7998.564678607193,2951.810989117585,55.0,1965.0,55,1,0.12500714042831962
0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,2233.441722046017,27405.447986054995,1967.545936696686,35.0,533.6,35,1,0.17804032156439725
0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,2233.441722046017,27405.447986054995,2499.389042920454,35.0,533.6,35,1,0.1786589967080901
0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,2499.4170360391186,27405.447986054995,2233.441722046017,35.0,533.6,35,1,0.17843564771499187
0.0001370471794652,1.0758203587904296,72576.0685931271,73177.5986754516,0.0001370471794652,64887000.0,72000.00000000001,0.0,1.12,1967.545936696686,27405.447986054995,2233.519947961025,35.0,533.6,35,1,0.17944061921137505
0.0005661852782212,4.44455443403757,286384.40575443016,296947.73860422475,0.0005661852782212,63512000.0,297000.00000000006,0.001,4.5,2224.5614050122444,18783.42253350729,2846.2252617632616,45.0,1645.9,45,1,0.17455253775477275
0.0005661852782212,4.44455443403757,286384.40575443016,296947.73860422475,0.0005661852782212,63512000.0,297000.00000000006,0.001,4.5,2242.438594987755,18783.42253350729,1620.774738236738,45.0,1645.9,45,1,0.17279667787999786
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,432.7345847862483,4495.007774711151,4034.265414980391,100.0,3020.2,100,-1,-0.07664878347622639
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,162.73458478213328,1495.0077747111504,4304.265414976269,100.0,3020.2,100,-1,-0.0714894241140146
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4304.265414976269,1495.0077747111504,4304.265414976269,100.0,3020.2,100,-1,-0.07736843987515263
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4034.265414980391,4495.007774711151,4034.265414980391,100.0,3020.2,100,-1,-0.0775568713740199
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4304.265414976269,1495.0077747111504,162.73458478213328,100.0,3020.2,100,-1,-0.07662199163965189
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,4034.265414980391,4495.007774711151,432.7345847862483,100.0,3020.2,100,-1,-0.07003695139229604
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,432.7345847862483,4495.007774711151,432.7345847862483,100.0,3020.2,100,-1,-0.06644890709804552
0.0046390308466376,36.416392146910304,1177878.882741,1211152.9496463516,0.0046390308466376,32053000.0,1211000.0,0.005,36.75,162.73458478213328,1495.0077747111504,162.73458478213328,100.0,3020.2,100,-1,-0.06447916683941146
0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,2680.00187039576,25905.578466062307,2292.9040507279465,35.0,1326.8,35,1,0.18349998886652746
0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,2292.9040507279465,25905.578466062307,1787.0000209379514,35.0,1326.8,35,1,0.18173227646133727
0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,1787.0000209379514,25905.578466062307,2174.095950076283,35.0,1326.8,35,1,0.18285185179276264
0.0003502855297503,2.74974140853688,180450.131205187,186285.4778979444,0.0003502855297503,64887000.0,186000.0,0.0,2.78,2174.095950076283,25905.578466062307,2679.9670117005576,35.0,1326.8,35,1,0.17997728332585083
0.0004651669964839,3.65156092239896,242321.04530327205,245976.185758373,0.000464376694675,64107999.99999999,246000.00000000003,0.0,3.78,2237.019025798602,24411.23557995681,2239.070173104404,40.0,1563.4,40,1,0.19789144355323046
0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,2292.4838712155683,17467.81581930099,2874.914405005936,40.0,1764.4,40,1,0.1766935739993139
0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,2174.516128784431,17467.81581930099,1592.085594994065,40.0,1764.4,40,1,0.17440930258102916
0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,2874.914405005936,17467.81581930099,2174.516128784431,40.0,1764.4,40,1,0.1795814402323908
0.0005337758931864,4.19014076150065,273477.05291679,281526.5379035244,0.0005337758931864,64107999.99999999,282000.00000000006,0.001,4.270000000000001,1592.085594994065,17467.81581930099,2292.4838712155683,40.0,1764.4,40,1,0.17381084751017734
0.0013566093516454,10.64938341042,549721.6916397762,567386.946773576,0.0013566093516454,50999000.00000001,567000.0000000001,0.001,10.78,3238.327359161816,2027.066324955216,4301.029862289568,60.0,2359.3,60,1,0.08565732728393038
0.0013566093516454,10.64938341042,549721.6916397762,567386.946773576,0.0013566093516454,50999000.00000001,567000.0000000001,0.001,10.78,1228.672640838867,2027.066324955216,165.97013772230272,60.0,2359.3,60,1,0.09033127977766853
